pluginID,pluginFormat,last_updated
1,VST2,2019-04-30
1,VST3,2019-04-30
1,AAX,2019-04-30
2,VST2,2020-11-25
2,VST3,2020-11-25
2,AAX,2020-11-25
3,VST2,2020-11-25
3,VST3,2020-11-25
3,AAX,2020-11-25
4,VST2,2020-11-25
4,VST3,2020-11-25
4,AAX,2020-11-25
5,VST2,2020-11-25
5,VST3,2020-11-25
5,AAX,2020-11-25
6,VST2,2020-11-25
6,VST3,2020-11-25
6,AAX,2020-11-25
7,VST2,2021-08-08
7,VST3,2021-08-08
7,AAX,2021-08-08
8,VST2,2021-08-08
8,VST3,2021-08-08
8,AAX,2021-08-08
9,VST2,2021-08-08
9,VST3,2021-08-08
9,AAX,2021-08-08
10,VST2,2020-11-28
10,VST3,2020-11-28
10,AAX,2020-11-28
11,VST2,2020-11-28
11,VST3,2020-11-28
11,AAX,2020-11-28
12,VST2,2020-11-28
12,VST3,2020-11-28
12,AAX,2020-11-28
13,VST2,2020-11-28
13,VST3,2020-11-28
13,AAX,2020-11-28
14,VST2,2020-11-28
14,VST3,2020-11-28
14,AAX,2020-11-28
15,VST2,2020-11-28
15,VST3,2020-11-28
15,AAX,2020-11-28
16,VST2,2020-11-28
16,VST3,2020-11-28
16,AAX,2020-11-28
17,VST2,2020-11-28
17,VST3,2020-11-28
17,AAX,2020-11-28
18,VST2,2020-11-28
18,VST3,2020-11-28
18,AAX,2020-11-28
19,VST2,2020-11-28
19,VST3,2020-11-28
19,AAX,2020-11-28
20,VST2,2020-11-28
20,VST3,2020-11-28
20,AAX,2020-11-28
21,VST2,2020-11-28
21,VST3,2020-11-28
21,AAX,2020-11-28
22,VST2,2020-11-28
22,VST3,2020-11-28
22,AAX,2020-11-28
23,VST2,2020-11-28
23,VST3,2020-11-28
23,AAX,2020-11-28
24,VST2,2020-11-28
24,VST3,2020-11-28
24,AAX,2020-11-28
25,VST2,2020-11-28
25,VST3,2020-11-28
25,AAX,2020-11-28
26,VST2,2020-11-28
26,VST3,2020-11-28
26,AAX,2020-11-28
27,VST2,2020-11-28
27,VST3,2020-11-28
27,AAX,2020-11-28
28,VST2,2020-11-28
28,VST3,2020-11-28
28,AAX,2020-11-28
29,VST2,2020-11-28
29,VST3,2020-11-28
29,AAX,2020-11-28
30,VST2,2020-11-28
30,VST3,2020-11-28
30,AAX,2020-11-28
31,VST2,2020-11-28
31,VST3,2020-11-28
31,AAX,2020-11-28
32,VST2,2020-11-28
32,VST3,2020-11-28
32,AAX,2020-11-28
33,VST2,2020-11-28
33,VST3,2020-11-28
33,AAX,2020-11-28
34,VST2,2020-11-28
34,VST3,2020-11-28
34,AAX,2020-11-28
35,VST2,2020-11-28
35,VST3,2020-11-28
35,AAX,2020-11-28
36,VST2,2020-11-28
36,VST3,2020-11-28
36,AAX,2020-11-28
37,VST2,2020-11-28
37,VST3,2020-11-28
37,AAX,2020-11-28
38,VST2,2020-11-28
38,VST3,2020-11-28
38,AAX,2020-11-28
39,VST2,2020-11-28
39,VST3,2020-11-28
39,AAX,2020-11-28
40,VST2,2020-11-28
